acct_id,hq_id,company,userDomain,city,region,countryCode,revenue_mil_usd,total_employees,naic3,naic6,isISP,usageType,datesCount,domainsCount,hitsSum,pageViewsSum,uniqueViewsSum,clicks,clickDates,hits_iabCat_IAB_1,hits_iabCat_IAB_2,hits_iabCat_IAB_3,hits_iabCat_IAB_4,hits_iabCat_IAB_5,hits_iabCat_IAB_6,hits_iabCat_IAB_7,hits_iabCat_IAB_8,hits_iabCat_IAB_9,hits_iabCat_IAB_10,hits_iabCat_IAB_11,hits_iabCat_IAB_12,hits_iabCat_IAB_13,hits_iabCat_IAB_14,hits_iabCat_IAB_15,hits_iabCat_IAB_16,hits_iabCat_IAB_17,hits_iabCat_IAB_18,hits_iabCat_IAB_19,hits_iabCat_IAB_20,hits_iabCat_IAB_21,hits_iabCat_IAB_22,hits_iabCat_IAB_23,hits_iabCat_IAB_24,hits_iabCat_IAB_25,hits_iabCat_IAB_26
1-1008V8T,1-1008V8T,REDACTED,REDACTED,New York City,New York,US,5.1,55,330,330000,0,COM,10,8,17,25,18,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,6,0,4,0,0,0,0,0,0,0
1-1008YD7,1-1008YD7,REDACTED,REDACTED,Carmichael,California,US,3.3231,250,722,722513,0,COM,6,6,8,27,27,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0
1-1008YZ1,1-1008YZ1,REDACTED,REDACTED,Gloster,Mississippi,US,30.6905,75,484,484110,0,COM,19,33,64,124,111,0,0,4,3,3,3,0,0,1,0,5,1,0,16,12,0,4,0,3,1,7,0,1,0,0,0,0,0
1-1008YZ1,1-1008YZ1,REDACTED,REDACTED,Hazlehurst,Mississippi,US,30.6905,75,484,484110,0,,3,2,4,4,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1008YZ1,1-1008YZ1,REDACTED,REDACTED,Sumrall,Mississippi,US,30.6905,75,484,484110,0,COM,1,1,2,25,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1-1008YZ1,1-1008YZ1,REDACTED,REDACTED,Tylertown,Mississippi,US,30.6905,75,484,484110,0,,7,6,23,32,31,0,0,1,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,1,0,4,0,0,10,0,0,0,1
1-100924H,1-PPU6U,REDACTED,REDACTED,Detroit,Michigan,US,497.0839,800,424,424690,0,COM,18,31,91,169,132,0,0,6,7,0,2,0,4,5,4,6,5,0,10,6,0,1,0,0,3,27,1,0,0,0,2,0,2
1-1009318,1-K964G0,REDACTED,REDACTED,Minneapolis,Minnesota,US,10.6987,200,813,813110,0,ORG,9,8,36,104,37,0,0,9,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,17,0,0,0,0,0,0,0
1-10094EG,1-JJGMVO,REDACTED,REDACTED,Arlington,Texas,US,3382.9,31402,448,448140,0,COM,12,19,65,112,86,0,0,1,21,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,5,10,0,0,1,0,2,0,2
1-10094EG,1-JJGMVO,REDACTED,REDACTED,El Paso,Texas,US,3382.9,31402,448,448140,0,COM,19,31,64,227,80,0,0,3,5,0,0,5,0,0,0,10,0,0,10,2,0,0,0,5,2,11,0,0,7,0,4,0,0
1-10096JV,1-JK1BUO,REDACTED,REDACTED,Ronkonkoma,New York,US,10.1833,80,813,813910,0,COM,17,38,71,143,91,0,0,4,2,0,1,0,0,1,0,3,1,0,7,10,3,1,0,6,7,17,1,6,0,0,1,0,0
1-100987X,1-100987X,REDACTED,REDACTED,Greenville,South Carolina,US,10,72,541,541330,0,COM,20,70,241,932,544,0,0,10,71,5,0,2,0,5,0,24,1,0,32,11,4,3,0,16,8,46,0,3,0,0,0,0,0
1-1009MOS,1-1009MOS,REDACTED,REDACTED,Corona,California,US,6.9945,52,238,238990,0,COM,12,7,20,29,26,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,0,0,0,0,0
1-1009MT2,1-1009MT2,REDACTED,REDACTED,Georgetown,Texas,US,3.5385,85,722,722511,0,COM,9,10,18,33,22,0,0,1,2,0,0,0,0,4,0,0,0,0,5,0,1,1,0,0,1,3,0,0,0,0,0,0,0
1-1009OOM,1-1FSN4QT,REDACTED,REDACTED,Plantation,Florida,US,2362.2,8451,334,334511,0,,23,101,661,1383,724,0,0,26,17,6,4,1,2,0,2,14,5,1,73,45,1,0,0,5,10,407,0,0,27,0,2,0,13
1-1009OPO,1-PXWD5,REDACTED,REDACTED,Rochester,New York,US,6.6761,250,531,531120,0,,13,27,92,171,130,0,0,4,8,0,0,0,0,2,0,6,5,0,7,2,0,0,0,2,1,49,0,0,4,0,0,0,2
1-1009V8D,1-1009V8D,REDACTED,REDACTED,Norcross,Georgia,US,10.7457,50,561,561730,0,COM,4,3,8,33,23,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1-1009VAG,1-1009VAG,REDACTED,REDACTED,Fort Worth,Texas,US,33.6114,63,562,562920,0,COM,7,3,9,15,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
1-100A0F4,1-100A0F4,REDACTED,REDACTED,Vernon Rockville,Connecticut,US,2.2009,95,611,611000,0,COM,9,4,17,36,17,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,4,0,0,8,0,0,0,0
1-100A13M,1-100A13M,REDACTED,REDACTED,Oakland,California,US,7.8725,50,561,561110,0,,10,14,58,118,98,0,0,1,20,0,0,4,0,1,0,0,0,0,7,12,0,0,0,0,1,8,0,3,0,0,0,0,1
1-100A5A2,1-176VQFO,REDACTED,REDACTED,Richmond,Virginia,US,4685,45000,721,721110,0,,10,29,138,188,139,0,0,3,0,1,0,0,0,0,0,2,1,0,21,9,0,0,0,6,0,60,0,2,21,0,1,0,11
1-100A5A2,1-176VQFO,REDACTED,REDACTED,Richmond,Virginia,US,4685,45000,721,721110,0,,28,116,454,770,507,0,0,102,4,13,0,7,1,5,1,9,7,0,90,77,4,5,0,23,10,77,0,2,11,0,5,0,1
1-100A5A2,1-176VQFO,REDACTED,REDACTED,Richmond,Virginia,US,4685,45000,721,721110,0,COM,15,23,60,183,71,0,0,4,0,0,0,1,0,2,0,2,1,2,22,1,0,1,1,0,0,19,0,4,0,0,0,0,0
1-100AE9D,1-100AE9D,REDACTED,REDACTED,Marion,Illinois,US,25.6,62,236,236210,0,COM,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
